word,phones,n_phonemes,n_sibilants,sibilant_density,log_freq
junction,JH AH NG K SH AH N,7,2,0.2857142857142857,2.1789769472931693
juncture,JH AH NG K CH ER,6,2,0.3333333333333333,1.6127838567197355
junior,JH UW N Y ER,5,1,0.2,3.2615007731982804
jurisdiction,JH UH R AH S D IH K SH AH N,11,3,0.2727272727272727,2.4345689040341987
keel,K IY L,3,0,0.0,1.792391689498254
kelp,K EH L P,4,0,0.0,1.806179973983887
kennel,K EH N AH L,5,0,0.0,1.7634279935629373
kerchief,K ER CH AH F,5,1,0.2,1.3010299956639813
kernel,K ER N AH L,5,0,0.0,1.5563025007672873
keyboard,K IY B AO R D,6,0,0.0,1.968482948553935
keyhole,K IY HH OW L,5,0,0.0,1.7323937598229686
khaki,K AA K IY,4,0,0.0,1.6334684555795864
kibble,K IH B AH L,5,0,0.0,1.6232492903979006
kidney,K IH D N IY,5,0,0.0,2.694605198933569
kindling,K IH N D L IH NG,7,0,0.0,1.4771212547196624
kinesiology,K IH N IH S IY AA L AH JH IY,11,2,0.18181818181818182,0.6020599913279624
kiosk,K IY AO S K,5,1,0.2,1.380211241711606
knapsack,N AE P S AE K,6,1,0.16666666666666666,1.5314789170422551
knee,N IY,2,0,0.0,2.8750612633917
kneecap,N IY K AE P,5,0,0.0,1.4771212547196624
knick,N IH K,3,0,0.0,1.3222192947339193
knob,N AA B,3,0,0.0,2.100370545117563
knock,N AA K,3,0,0.0,3.5185139398778875
knoll,N OW L,3,0,0.0,1.4471580313422192
knot,N AA T,3,0,0.0,2.2764618041732443
knuckle,N AH K AH L,5,0,0.0,1.8260748027008264
kook,K UW K,3,0,0.0,1.6020599913279623
kosher,K OW SH ER,4,1,0.25,2.1398790864012365
kraut,K R AW T,4,0,0.0,1.9030899869919435
lab,L AE B,3,0,0.0,3.305566313515304
label,L EY B AH L,5,0,0.0,2.546542663478131
laboratory,L AE B R AH T AO R IY,9,0,0.0,2.5211380837040362
laborer,L EY B ER ER,5,0,0.0,1.380211241711606
labyrinth,L AE B ER IH N TH,7,0,0.0,1.6232492903979006
lacquer,L AE K ER,4,0,0.0,1.3617278360175928
lacrosse,L AH K R AO S,6,1,0.16666666666666666,1.7323937598229686
ladder,L AE D ER,4,0,0.0,2.6748611407378116
ladle,L EY D AH L,5,0,0.0,1.591064607026499
lager,L AA G ER,4,0,0.0,1.414973347970818
lamppost,L AE M P P OW S T,8,1,0.125,1.462397997898956
lance,L AE N S,4,1,0.25,2.7442929831226763
lancer,L AE N S ER,5,1,0.2,1.3617278360175928
landfall,L AE N D F AO L,7,0,0.0,1.414973347970818
landing,L AE N D IH NG,6,0,0.0,2.9132839017604186
lane,L EY N,3,0,0.0,3.2317243833285163
lantern,L AE N T ER N,6,0,0.0,2.0170333392987803
lark,L AA R K,4,0,0.0,1.9242792860618816
lass,L AE S,3,1,0.3333333333333333,2.1367205671564067
latch,L AE CH,3,1,0.3333333333333333,1.99563519459755
lateral,L AE T ER AH L,6,0,0.0,1.8976270912904414
latitude,L AE T AH T UW D,7,0,0.0,1.9138138523837167
launcher,L AO N CH ER,5,1,0.2,1.6334684555795864
launder,L AO N D ER,5,0,0.0,1.5440680443502757
laundering,L AO N D ER IH NG,7,0,0.0,1.8512583487190752
lavatory,L AE V AH T AO R IY,8,0,0.0,1.6989700043360187
law,L AO,2,0,0.0,3.773274348337454
lawman,L AO M AH N,5,0,0.0,1.7708520116421442
lawnmower,L AO N M OW ER,6,0,0.0,1.3979400086720377
layaway,L EY AH W EY,5,0,0.0,1.8750612633917
layer,L EY ER,3,0,0.0,2.278753600952829
layman,L EY M AH N,5,0,0.0,1.6901960800285136
layout,L EY AW T,4,0,0.0,2.2528530309798933
leaded,L EH D IH D,5,0,0.0,1.380211241711606
league,L IY G,3,0,0.0,2.978180516937414
leap,L IY P,3,0,0.0,2.5327543789924976
lease,L IY S,3,1,0.3333333333333333,2.506505032404872
leash,L IY SH,3,1,0.3333333333333333,2.342422680822206
leave,L IY V,3,0,0.0,4.4563204753743735
ledger,L EH JH ER,4,1,0.25,1.7993405494535817
leeway,L IY W EY,4,0,0.0,1.462397997898956
leftover,L EH F T OW V ER,7,0,0.0,1.792391689498254
leftovers,L EH F T OW V ER Z,8,1,0.125,2.1072099696478683
legal,L IY G AH L,5,0,0.0,3.2605483726369795
legion,L IY JH AH N,5,1,0.2,2.103803720955957
legwork,L EH G W ER K,6,0,0.0,1.5440680443502757
lend,L EH N D,4,0,0.0,2.7752462597402365
length,L EH NG K TH,5,0,0.0,2.5550944485783194
lens,L EH N Z,4,1,0.25,2.3783979009481375
leotard,L IY AH T AA R D,7,0,0.0,1.3222192947339193
lessen,L EH S AH N,5,1,0.2,1.4913616938342726
letterhead,L EH T ER HH EH D,7,0,0.0,1.3424226808222062
lettering,L EH T ER IH NG,6,0,0.0,1.380211241711606
levee,L EH V IY,4,0,0.0,1.4313637641589874
lever,L EH V ER,4,0,0.0,2.214843848047698
leverage,L EH V ER IH JH,6,1,0.16666666666666666,2.146128035678238
